Sflow,Level,Mflow
0.01001,0.35,0.02751
0.01001,0.32111,-0.81381
0.01001,0.18794,-0.9222
0.01001,0.09792,1.0128
0.01001,0.10325,0.20402
0.01001,0.12773,-0.86786
0.01001,0.14619,0.26122
0.01001,0.24433,0.32462
0.01001,0.30686,-1.5041
0.01001,0.29492,-0.52778
0.01001,0.26907,-0.53309
0.01001,0.24284,-0.54878
0.01001,0.24195,3.7695
0.01001,0.31039,-0.4756
0.01001,0.28835,-0.48348
0.01001,0.26609,-0.45697
0.01001,0.24346,-0.4281
0.01001,0.30591,-0.0352
0.01001,0.28578,-0.46176
0.01001,0.26465,-0.43464
0.01001,0.24347,4.4226
0.02001,0.35,0.02751
0.02001,0.3437,-0.55211
0.02001,0.33386,-0.22932
0.02001,0.32553,-0.186
0.02001,0.31784,-0.15981
0.02001,0.31016,-0.15443
0.02001,0.30196,-0.15472
0.02001,0.33892,0.97259
0.02001,0.34307,-0.15197
0.02001,0.33554,-0.14412
0.02001,0.3279,-0.14327
0.02001,0.32028,-0.1426
0.02001,0.31265,-0.14435
0.02001,0.3048,-0.14824
0.02001,0.3348,1.132
0.02001,0.33266,-0.14129
0.02001,0.32519,-0.13869
0.02001,0.31777,-0.1387
0.02001,0.31027,-0.14335
0.02001,0.30201,-0.26415
0.02001,0.33305,-0.15396
0.03002,0.35,0.02751
0.03002,0.34701,-0.10631
0.03002,0.34178,-0.10171
0.03002,0.33673,-0.08855
0.03002,0.33197,-0.08344
0.03002,0.32726,-0.08247
0.03002,0.3225,-0.08173
0.03002,0.31771,-0.08152
0.03002,0.31291,-0.08151
0.03002,0.33648,0.56243
0.03002,0.34481,-0.01494
0.03002,0.34333,-0.01002
0.03002,0.34175,-0.00974
0.03002,0.34015,-0.00957
0.03002,0.33843,-0.00941
0.03002,0.33672,-0.00926
0.03002,0.335,-0.00912
0.03002,0.33328,-0.00899
0.03002,0.33156,-0.00887
0.03002,0.32984,-0.00877
0.03002,0.32812,-0.00869
0.04002,0.35,0.02751
0.04002,0.34902,-0.04652
0.04002,0.34612,-0.04808
0.04002,0.34293,-0.04264
0.04002,0.33989,-0.03595
0.04002,0.33699,-0.03456
0.04002,0.33397,-0.03423
0.04002,0.3309,-0.03392
0.04002,0.3278,-0.03359
0.04002,0.32465,-0.03316
0.04002,0.35288,0.2853
0.04002,0.35316,0.03971
0.04002,0.35207,-0.01876
0.04002,0.34921,-0.01982
0.04002,0.34634,-0.02015
0.04002,0.34339,-0.02036
0.04002,0.34043,-0.0205
0.04002,0.33746,-0.0206
0.04002,0.3345,-0.02064
0.04002,0.33153,-0.0207
0.04002,0.32856,-0.0207
0.05003,0.35,0.02751
0.05003,0.35214,0.05
0.05003,0.35329,0.05
0.05003,0.35437,0.05
0.05003,0.35534,0.05
0.05003,0.35615,0.04997
0.05003,0.35674,0.04975
0.05003,0.35693,0.04975
0.05003,0.35694,0.04987
0.05003,0.35695,0.04975
0.05003,0.35696,0.04974
0.05003,0.35696,0.04988
0.05003,0.35697,0.04974
0.05003,0.35698,0.04989
0.05003,0.35699,0.0498
0.05003,0.357,0.04974
0.05003,0.35701,0.04975
0.05003,0.35702,0.04974
0.05003,0.35703,0.04977
0.05003,0.35704,0.04982
0.05003,0.35704,0.04974
0.06003,0.35,0.02751
0.06003,0.35272,0.06
0.06003,0.35435,0.06
0.06003,0.35576,0.06
0.06003,0.35666,0.06
0.06003,0.35679,0.06
0.06003,0.3568,0.05851
0.06003,0.35681,0.05974
0.06003,0.35682,0.05969
0.06003,0.35683,0.0597
0.06003,0.35684,0.05978
0.06003,0.35685,0.05969
0.06003,0.35686,0.05975
0.06003,0.35687,0.05968
0.06003,0.35688,0.05976
0.06003,0.35689,0.0597
0.06003,0.3569,0.05969
0.06003,0.35691,0.05971
0.06003,0.35692,0.05968
0.06003,0.35693,0.05968
0.06003,0.35694,0.05969
0.01001,0.7,0.02751
0.01001,0.64154,-2.5298
0.01001,0.5995,-3.8861
0.01001,0.42659,1.6791
0.01001,0.43185,-0.45974
0.01001,0.43894,-0.59132
0.01001,0.4537,-0.06239
0.01001,0.45993,0.15767
0.01001,0.49562,0.8605
0.01001,0.57746,4.3553
0.01001,0.64147,2.648
0.01001,0.64023,-0.06902
0.01001,0.62517,-0.78715
0.01001,0.58878,-0.86373
0.01001,0.54659,-0.96494
0.01001,0.5813,1.8443
0.01001,0.63826,-0.4524
0.01001,0.62293,-0.58083
0.01001,0.60411,-0.62851
0.01001,0.57606,-0.67708
0.01001,0.62078,1.0713
0.02001,0.7,0.02751
0.02001,0.6624,-0.23831
0.02001,0.65241,-0.2312
0.02001,0.64395,-0.22726
0.02001,0.63768,-0.21916
0.02001,0.62993,-0.20956
0.02001,0.64875,-0.19769
0.02001,0.642,-0.17146
0.02001,0.63627,-0.17143
0.02001,0.63092,-0.25387
0.02001,0.66062,-0.15022
0.02001,0.65506,-0.15505
0.02001,0.64252,-0.15364
0.02001,0.63714,-0.15329
0.02001,0.63157,-0.15917
0.02001,0.62047,-0.16836
0.02001,0.64959,-0.15738
0.02001,0.64441,-0.1507
0.02001,0.63903,-0.14989
0.02001,0.6336,-0.15357
0.02001,0.62795,-0.15264
0.03002,0.7,0.02751
0.03002,0.66217,-0.03821
0.03002,0.66272,0.00173
0.03002,0.66331,-0.2059
0.03002,0.66331,0.0015
0.03002,0.66158,-0.03419
0.03002,0.65767,-0.0109
0.03002,0.64234,-0.01081
0.03002,0.6409,-0.01063
0.03002,0.63947,-0.01051
0.03002,0.63805,-0.01039
0.03002,0.63676,-0.0103
0.03002,0.63568,-0.0102
0.03002,0.63483,-0.01011
0.03002,0.63436,-0.01001
0.03002,0.63415,-0.00988
0.03002,0.62982,-0.00964
0.03002,0.62799,-0.00978
0.03002,0.62676,-0.00997
0.03002,0.62551,-0.0102
0.03002,0.62435,-0.01043
0.04002,0.7,0.02751
0.04002,0.64379,-0.0318
0.04002,0.6385,0.02243
0.04002,0.64034,-0.09652
0.04002,0.63849,0.03722
0.04002,0.63448,-0.01193
0.04002,0.63804,0.0294
0.04002,0.6424,-0.0094
0.04002,0.64383,-0.0183
0.04002,0.642,0.04472
0.04002,0.63881,0.04215
0.04002,0.64355,-0.00195
0.04002,0.64391,0.03979
0.04002,0.6417,-0.03708
0.04002,0.63859,-0.03123
0.04002,0.63264,-0.02658
0.04002,0.6306,-0.02675
0.04002,0.62888,-0.02695
0.04002,0.62747,-0.02709
0.04002,0.6237,-0.02709
0.04002,0.62149,-0.02716
0.05003,0.7,0.02751
0.05003,0.64687,-0.04716
0.05003,0.64342,0.10316
0.05003,0.64714,0.03318
0.05003,0.63893,-0.03742
0.05003,0.63397,-0.04137
0.05003,0.62806,-0.03333
0.05003,0.61993,-0.02017
0.05003,0.61725,-0.01905
0.05003,0.6143,-0.019
0.05003,0.61229,-0.01905
0.05003,0.60789,-0.01898
0.05003,0.63274,0.03637
0.05003,0.62814,0.04978
0.05003,0.62397,-0.0114
0.05003,0.62197,-0.01262
0.05003,0.61986,-0.01301
0.05003,0.61776,-0.01327
0.05003,0.61565,-0.01345
0.05003,0.61354,-0.01357
0.05003,0.61144,-0.01364
0.06003,0.7,0.02751
0.06003,0.63491,0.02968
0.06003,0.63631,0.01332
0.06003,0.63335,0.01224
0.06003,0.63396,0.05514
0.06003,0.63231,0.06032
0.06003,0.62473,0.05987
0.06003,0.62157,0.05977
0.06003,0.62068,0.05976
0.06003,0.62068,0.05977
0.06003,0.62069,0.05977
0.06003,0.6207,0.05977
0.06003,0.62071,0.05977
0.06003,0.62072,0.05975
0.06003,0.62073,0.05976
0.06003,0.62074,0.05994
0.06003,0.62075,0.05976
0.06003,0.62075,0.05977
0.06003,0.62076,0.05977
0.06003,0.62077,0.05975
0.06003,0.62078,0.05976
0.01001,1.0035,0.02751
0.01001,0.93363,-6.27
0.01001,0.80729,-0.42014
0.01001,0.80459,-0.79509
0.01001,0.80807,0.45745
0.01001,0.82669,-0.19784
0.01001,0.83333,1.2081
0.01001,0.83346,-0.11411
0.01001,0.83869,1.0452
0.01001,0.86016,-1.1605
0.01001,0.96507,1.3521
0.01001,0.96317,-0.83009
0.01001,0.82475,0.86401
0.01001,0.838,-0.35555
0.01001,0.83941,0.08839
0.01001,0.85914,0.28799
0.01001,0.90892,4.6265
0.01001,0.96661,-0.32898
0.01001,0.94687,-0.73074
0.01001,0.92074,-0.89684
0.01001,0.89122,-0.9515
0.02001,1.0035,0.02751
0.02001,0.9654,-0.41094
0.02001,0.95014,-0.41488
0.02001,0.9369,-0.35898
0.02001,0.92212,-0.29717
0.02001,0.95525,-0.22179
0.02001,0.94565,-0.23707
0.02001,0.93985,-0.23985
0.02001,0.94947,0.73322
0.02001,0.95194,-0.21871
0.02001,0.94342,-0.18086
0.02001,0.93835,-0.19794
0.02001,0.95809,-0.15932
0.02001,0.95127,-0.16211
0.02001,0.94355,-0.1542
0.02001,0.94411,-0.15594
0.02001,0.92188,-0.06552
0.02001,0.94232,-0.15533
0.02001,0.93775,-0.15403
0.02001,0.93288,-0.16076
0.02001,0.93792,-0.04042
0.03002,1.0035,0.02751
0.03002,0.97126,-0.42083
0.03002,0.97157,0.22318
0.03002,0.96594,0.01653
0.03002,0.95988,0.03046
0.03002,0.97065,0.00639
0.03002,0.96063,0.0343
0.03002,0.96643,-0.09295
0.03002,0.97294,-0.05133
0.03002,0.93977,0.02025
0.03002,0.94483,-0.03453
0.03002,0.94228,-0.01589
0.03002,0.94068,-0.01425
0.03002,0.93923,-0.01396
0.03002,0.9378,-0.01378
0.03002,0.93637,-0.0137
0.03002,0.93495,-0.01376
0.03002,0.93354,-0.01392
0.03002,0.93211,-0.01398
0.03002,0.93063,-0.01347
0.03002,0.92913,-0.01277
0.04002,1.0035,0.02751
0.04002,0.96254,-0.18348
0.04002,0.95688,0.03976
0.04002,0.95834,-0.0614
0.04002,0.95265,0.05612
0.04002,0.95302,0.92052
0.04002,0.95958,0.04402
0.04002,0.9524,-0.01077
0.04002,0.94871,0.03216
0.04002,0.95825,-0.00939
0.04002,0.9532,0.03751
0.04002,0.95319,-0.04863
0.04002,0.94935,-0.05181
0.04002,0.94681,-0.04458
0.04002,0.94178,-0.03051
0.04002,0.93814,-0.02837
0.04002,0.93624,-0.02843
0.04002,0.93466,-0.02851
0.04002,0.93132,-0.02836
0.04002,0.92953,-0.02861
0.04002,0.92643,-0.0283
0.05003,1.0035,0.02751
0.05003,0.976,-0.14942
0.05003,0.94701,-0.0168
0.05003,0.9444,0.08037
0.05003,0.93839,0.03608
0.05003,0.94151,0.05108
0.05003,0.9465,-0.0353
0.05003,0.9411,-0.03537
0.05003,0.93316,-0.02377
0.05003,0.93003,-0.01634
0.05003,0.92717,-0.01476
0.05003,0.9238,-0.01471
0.05003,0.92242,-0.01482
0.05003,0.93412,0.71078
0.05003,0.93899,0.0497
0.05003,0.93831,-0.01447
0.05003,0.93659,-0.01873
0.05003,0.93449,-0.01929
0.05003,0.93236,-0.01957
0.05003,0.93013,-0.01976
0.05003,0.9281,-0.01995
0.06003,1.0035,0.02751
0.06003,0.93719,0.04353
0.06003,0.93125,0.04511
0.06003,0.93278,0.03076
0.06003,0.94918,0.05942
0.06003,0.94452,0.05986
0.06003,0.93683,0.05986
0.06003,0.93504,0.05989
0.06003,0.93304,0.05991
0.06003,0.93373,0.05987
0.06003,0.93437,0.05986
0.06003,0.93488,0.05986
0.06003,0.9352,0.05988
0.06003,0.93551,0.05986
0.06003,0.93553,0.05986
0.06003,0.93554,0.05986
0.06003,0.93555,0.05985
0.06003,0.93556,0.05985
0.06003,0.93557,0.05986
0.06003,0.93558,0.05986
0.06003,0.93559,0.0599
0.01001,1.307,0.02751
0.01001,1.1984,-9.279
0.01001,1.1051,-0.56854
0.01001,1.1083,0.16887
0.01001,1.1108,0.0181
0.01001,1.1156,1.1517
0.01001,1.1279,0.27664
0.01001,1.1365,0.09867
0.01001,1.14,0.09831
0.01001,1.1608,-0.65784
0.01001,1.2316,0.88668
0.01001,1.2654,-0.74709
0.01001,1.1275,2.2145
0.01001,1.1412,-0.4117
0.01001,1.1428,0.0996
0.01001,1.1637,0.07807
0.01001,1.2163,-0.00334
0.01001,1.2466,1.7924
0.01001,1.2598,-0.65281
0.01001,1.2599,-0.57331
0.01001,1.2299,-1.3189
0.02001,1.307,0.02751
0.02001,1.2639,-3.1751
0.02001,1.2513,-0.41555
0.02001,1.2392,-0.44792
0.02001,1.2235,-0.36505
0.02001,1.2544,-0.02692
0.02001,1.2527,-0.28667
0.02001,1.2438,-0.29568
0.02001,1.2651,0.1932
0.02001,1.2628,-0.34026
0.02001,1.2536,-0.24206
0.02001,1.2454,-0.26225
0.02001,1.266,-0.14211
0.02001,1.2712,-0.31555
0.02001,1.2602,-0.19342
0.02001,1.2519,-0.18586
0.02001,1.2449,-0.18484
0.02001,1.2609,-0.1603
0.02001,1.2545,-0.16448
0.02001,1.2469,-0.16616
0.02001,1.2555,1.0088
0.03002,1.307,0.02751
0.03002,1.2597,0.1056
0.03002,1.2603,5.4199
0.03002,1.2577,-0.20774
0.03002,1.2674,0.01039
0.03002,1.2583,2.0236
0.03002,1.2647,-0.03016
0.03002,1.2738,0.01751
0.03002,1.2659,0.02107
0.03002,1.2618,0.01087
0.03002,1.2597,0.02247
0.03002,1.2613,-0.08733
0.03002,1.2536,-0.0364
0.03002,1.2389,-0.01791
0.03002,1.2415,-0.01679
0.03002,1.2394,-0.01668
0.03002,1.238,-0.01684
0.03002,1.2365,-0.01624
0.03002,1.235,-0.01546
0.03002,1.2336,-0.01536
0.03002,1.2322,-0.01523
0.04002,1.307,0.02751
0.04002,1.268,-0.00622
0.04002,1.2565,0.28954
0.04002,1.2807,-0.14242
0.04002,1.2527,0.06329
0.04002,1.268,0.01727
0.04002,1.257,-0.11328
0.04002,1.2606,0.03917
0.04002,1.2473,0.03037
0.04002,1.244,0.05198
0.04002,1.2611,0.00723
0.04002,1.258,0.04449
0.04002,1.2605,0.01658
0.04002,1.2568,-0.01204
0.04002,1.251,0.0416
0.04002,1.2573,0.00033
0.04002,1.256,0.02785
0.04002,1.2556,0.0062
0.04002,1.2516,0.03977
0.04002,1.2503,-0.03866
0.04002,1.2481,-0.03421
0.05003,1.307,0.02751
0.05003,1.2772,0.02099
0.05003,1.2651,0.48072
0.05003,1.2728,0.18917
0.05003,1.244,0.15414
0.05003,1.2427,0.06085
0.05003,1.2663,0.04112
0.05003,1.2417,0.0455
0.05003,1.2566,0.06902
0.05003,1.2606,0.04986
0.05003,1.2576,-0.01797
0.05003,1.251,-0.02066
0.05003,1.2467,-0.02405
0.05003,1.2439,-0.02214
0.05003,1.2405,-0.01674
0.05003,1.2386,-0.01561
0.05003,1.2367,-0.01567
0.05003,1.2348,-0.01575
0.05003,1.233,-0.01583
0.05003,1.2577,-0.06789
0.05003,1.2509,0.04986
0.06003,1.307,0.02751
0.06003,1.2676,0.05717
0.06003,1.2716,-0.07615
0.06003,1.2793,0.03765
0.06003,1.2441,0.04404
0.06003,1.2412,0.04805
0.06003,1.2545,-0.04212
0.06003,1.2572,0.05956
0.06003,1.2512,0.05995
0.06003,1.2461,0.05995
0.06003,1.2439,0.05995
0.06003,1.2448,0.05994
0.06003,1.2454,0.05995
0.06003,1.2463,0.05994
0.06003,1.247,0.05974
0.06003,1.2471,0.06003
0.06003,1.2471,0.05994
0.06003,1.2472,0.05994
0.06003,1.2473,0.05998
0.06003,1.2473,0.05994
0.06003,1.2474,0.05994
0.01001,1.6105,0.02751
0.01001,1.4145,-2.9913
0.01001,1.4082,-1.1132
0.01001,1.4109,-0.33116
0.01001,1.4131,0.21166
0.01001,1.4165,0.02548
0.01001,1.4301,-0.315
0.01001,1.4425,-0.47099
0.01001,1.4415,0.1907
0.01001,1.4505,2.9969
0.01001,1.4891,6.7424
0.01001,1.5682,4.4666
0.01001,1.5027,-8.6296
0.01001,1.5417,-0.87416
0.01001,1.4435,0.06622
0.01001,1.4434,0.3499
0.01001,1.4474,0.06222
0.01001,1.4621,0.05369
0.01001,1.5691,0.5238
0.01001,1.5406,-4.0572
0.01001,1.4377,0.55055
0.02001,1.6105,0.02751
0.02001,1.5928,0.45032
0.02001,1.5417,2.7302
0.02001,1.4458,8.7286
0.02001,1.5401,-1.3765
0.02001,1.5484,0.43332
0.02001,1.5858,4.5454
0.02001,1.5709,-1.1364
0.02001,1.5548,-0.34139
0.02001,1.5425,-0.28277
0.02001,1.5625,-0.11941
0.02001,1.5605,-0.33525
0.02001,1.548,-0.24796
0.02001,1.5529,0.28425
0.02001,1.5555,-0.21302
0.02001,1.5493,-0.19552
0.02001,1.5613,-0.02089
0.02001,1.5637,-0.20705
0.02001,1.5575,-0.19591
0.02001,1.5511,-0.20096
0.02001,1.57,-0.17565
0.03002,1.6105,0.02751
0.03002,1.5646,-1.0087
0.03002,1.5754,1.0325
0.03002,1.5551,-0.04168
0.03002,1.5764,-1.4425
0.03002,1.5648,-0.14921
0.03002,1.5514,-0.90221
0.03002,1.5588,1.8269
0.03002,1.587,-0.11883
0.03002,1.5583,-0.05232
0.03002,1.5652,-0.20926
0.03002,1.5618,0.02933
0.03002,1.5358,0.00344
0.03002,1.5411,-0.02293
0.03002,1.5405,-0.021
0.03002,1.5437,-0.02136
0.03002,1.5432,-0.02072
0.03002,1.542,-0.02075
0.03002,1.5404,-0.0217
0.03002,1.5442,-0.28482
0.03002,1.5676,-0.10589
0.04002,1.6105,0.02751
0.04002,1.5866,2.2745
0.04002,1.5581,0.07646
0.04002,1.5564,0.48444
0.04002,1.5782,-0.09981
0.04002,1.5595,-0.00054
0.04002,1.5661,0.04542
0.04002,1.5562,-0.15682
0.04002,1.5833,0.05637
0.04002,1.5605,-0.03738
0.04002,1.5579,0.39313
0.04002,1.5755,-0.20677
0.04002,1.5626,0.01488
0.04002,1.5638,0.03556
0.04002,1.562,0.04072
0.04002,1.5651,0.04638
0.04002,1.5703,0.04027
0.04002,1.5684,-0.04605
0.04002,1.5702,0.01467
0.04002,1.5692,0.0262
0.04002,1.5678,0.00742
0.05003,1.6105,0.02751
0.05003,1.5791,1.0221
0.05003,1.5827,-0.98199
0.05003,1.5631,0.06594
0.05003,1.5516,0.03434
0.05003,1.5561,1.0305
0.05003,1.5512,0.07093
0.05003,1.5881,-0.07302
0.05003,1.5802,0.07144
0.05003,1.5693,-0.01526
0.05003,1.5663,0.06242
0.05003,1.5687,-0.03659
0.05003,1.5651,-0.03805
0.05003,1.5604,0.12232
0.05003,1.5608,0.04994
0.05003,1.5599,-0.01534
0.05003,1.5566,-0.01667
0.05003,1.554,-0.01687
0.05003,1.5521,-0.01706
0.05003,1.5505,-0.01721
0.05003,1.5488,-0.01745
0.06003,1.6105,0.02751
0.06003,1.6025,1.2735
0.06003,1.5518,0.24355
0.06003,1.5391,0.02912
0.06003,1.5541,0.16452
0.06003,1.5728,0.07091
0.06003,1.5456,0.03452
0.06003,1.5762,0.0567
0.06003,1.5726,-0.02172
0.06003,1.5647,-0.04387
0.06003,1.5646,-0.0165
0.06003,1.5548,2.298
0.06003,1.5572,0.05993
0.06003,1.5561,-0.00032
0.06003,1.5543,-0.03526
0.06003,1.5584,0.05977
0.06003,1.5592,0.06
0.06003,1.5574,-0.01463
0.06003,1.5604,0.0571
0.06003,1.5601,0.05997
0.06003,1.559,-0.00915
0.01001,1.914,0.02751
0.01001,1.707,-1.7093
0.01001,1.7108,0.45203
0.01001,1.7132,0.9832
0.01001,1.716,-0.09784
0.01001,1.7185,0.07107
0.01001,1.7315,2.6032
0.01001,1.7337,-0.51924
0.01001,1.7435,-0.02664
0.01001,1.7473,0.1597
0.01001,1.7689,-0.35989
0.01001,1.8456,3.3915
0.01001,1.8713,-0.91223
0.01001,1.8044,3.1008
0.01001,1.7946,-7.4954
0.01001,1.7446,-0.51445
0.01001,1.7486,0.06735
0.01001,1.7522,0.16389
0.01001,1.7753,1.304
0.01001,1.8878,-0.03226
0.01001,1.8621,-1.1236
0.02001,1.914,0.02751
0.02001,1.8877,1.1177
0.02001,1.8604,0.55227
0.02001,1.829,4.3771
0.02001,1.8079,-2.4068
0.02001,1.8874,-0.53114
0.02001,1.8627,-0.28192
0.02001,1.8529,-0.29073
0.02001,1.8457,-0.36909
0.02001,1.8712,-0.24394
0.02001,1.86,-0.28062
0.02001,1.8512,-0.26784
0.02001,1.8728,0.08586
0.02001,1.8723,-0.3892
0.02001,1.8589,-0.21075
0.02001,1.8539,-0.37569
0.02001,1.8716,-0.19051
0.02001,1.8656,-0.27628
0.02001,1.8592,-0.26695
0.02001,1.861,0.08343
0.02001,1.8679,-0.21467
0.03002,1.914,0.02751
0.03002,1.8709,-0.46609
0.03002,1.8552,-0.1661
0.03002,1.8784,-0.16812
0.03002,1.8476,-3.9085
0.03002,1.897,0.79308
0.03002,1.8802,-0.17185
0.03002,1.8862,0.06726
0.03002,1.8695,-0.10859
0.03002,1.8779,-0.0849
0.03002,1.8577,0.04139
0.03002,1.8817,-1.029
0.03002,1.8763,1.583
0.03002,1.8791,-0.13128
0.03002,1.8889,-0.56376
0.03002,1.8671,0.00877
0.03002,1.875,0.03805
0.03002,1.8504,-0.03338
0.03002,1.8537,-0.02422
0.03002,1.8533,-0.02381
0.03002,1.8563,-0.02348
0.04002,1.914,0.02751
0.04002,1.8723,0.97938
0.04002,1.884,-0.79477
0.04002,1.8947,-0.23056
0.04002,1.8748,0.37637
0.04002,1.8634,-0.28204
0.04002,1.896,0.16549
0.04002,1.8904,-0.06459
0.04002,1.8708,-0.01924
0.04002,1.8664,-0.09127
0.04002,1.8942,-1.7964
0.04002,1.8595,-0.13695
0.04002,1.8812,0.25465
0.04002,1.8866,-0.53334
0.04002,1.8861,-0.42577
0.04002,1.8756,-0.12175
0.04002,1.8662,-0.02064
0.04002,1.8742,0.04363
0.04002,1.5559,-0.17881
0.04002,1.5493,0.06934
0.04002,1.5521,0.04118
0.05003,1.914,0.02751
0.05003,1.8523,0.66169
0.05003,1.894,-1.4347
0.05003,1.8747,0.04404
0.05003,1.9005,0.09119
0.05003,1.8833,0.00238
0.05003,1.8834,-0.22074
0.05003,1.863,0.04417
0.05003,1.861,-0.01883
0.05003,1.8756,-0.03531
0.05003,1.8884,-0.10306
0.05003,1.8942,-0.09804
0.05003,1.8695,0.03791
0.05003,1.8794,0.07064
0.05003,1.8835,0.03321
0.05003,1.5091,0.04737
0.05003,1.5074,0.04984
0.05003,1.5007,-0.02006
0.05003,1.4989,-0.02162
0.05003,1.4947,-0.02195
0.05003,1.4929,-0.02223
0.06003,1.914,0.02751
0.06003,1.8664,0.15328
0.06003,1.9003,-3.0842
0.06003,1.8589,0.4774
0.06003,1.8977,0.38034
0.06003,1.8955,0.08247
0.06003,1.8808,0.05559
0.06003,1.8899,0.07926
0.06003,1.8597,0.07997
0.06003,1.8839,0.0433
0.06003,1.8597,0.08618
0.06003,1.877,-0.03584
0.06003,1.708,-0.09573
0.06003,1.7003,0.05993
0.06003,1.3411,0.93676
0.06003,1.3436,-0.01395
0.06003,1.3408,-0.01283
0.06003,1.3385,-0.01297
0.06003,1.3362,-0.0132
0.06003,1.3339,-0.01339
0.06003,1.3316,-0.0135
